scale,min,max
0.002657671729010146,1784.48224524858,2160.75143947764
0.0006151714475955488,2.4369087535075,1628.0
0.0070242324638187135,38.6685003343557,181.032809196701
0.07541932823503472,15.6958938036288,28.9550943746499
0.004838079156880858,179.37439137039,386.067991779505
0.0008078375260161055,0.603739925153945,1238.47641579793
0.003395262466298241,64.5241796378105,359.052219789673
0.011111111111111112,0.0,90.0
0.07344113057216546,0.0376389366987437,13.6539870540166
0.017024319528838257,27.2729280063294,86.0124270098611
